390 0.5813 0.0235
400 0.6843 0.0205
410 0.7782 0.0129
420 0.8637 0.006
430 0.9603 0.002
440 1.0 0
450 0.9634 0.006
460 0.9311 0.0109
470 0.8697 0.0157
480 0.789 0.0152
490 0.7558 0.0256
500 0.7333 0.0559
510 0.6911 0.0865
520 0.6327 0.0981
530 0.5681 0.0969
540 0.5046 0.09
550 0.4262 0.0781
560 0.3433 0.0659
570 0.295 0.06
580 0.2784 0.0581
590 0.2595 0.054
600 0.2389 0.0495
610 0.2745 0.0578
620 0.3197 0.0674
630 0.3421 0.0718
640 0.3331 0.0685
650 0.3502 0.0713
660 0.561 0.1128
670 0.8435 0.1595
680 0.7485 0.1388
690 0.389 0.0812
700 0.136 0.0317
710 0.0545 0.0128
720 0.025 0.005
